Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,22,1.4,1.89184871953306,0.402810359142136
SAT,Body,male,22,1.41,1.89915471244032,0.396974444747613
SAT,Body,male,22,1.42,1.90646212228806,0.391209718758326
SAT,Body,male,22,1.43,1.91377100811548,0.385519147357826
SAT,Body,male,22,1.44,1.92108142896177,0.379905696729665
SAT,Body,male,22,1.45,1.9283934438661,0.374372333057394
SAT,Body,male,22,1.46,1.93570711186767,0.368922022524565
SAT,Body,male,22,1.47,1.94302249200567,0.36355773131473
SAT,Body,male,22,1.48,1.95033964331928,0.358282425611439
SAT,Body,male,22,1.49,1.95765862484769,0.353099071598244
SAT,Body,male,22,1.5,1.96497949563009,0.348010635458698
SAT,Body,male,22,1.51,1.97230234932246,0.343019808755549
SAT,Body,male,22,1.52,1.97962744066785,0.338128400081758
SAT,Body,male,22,1.53,1.98695515981184,0.333339507015352
SAT,Body,male,22,1.54,1.99428595906179,0.328660358393166
SAT,Body,male,22,1.55,2.00162028168519,0.324104682271715
SAT,Body,male,22,1.56,2.00895849707222,0.319694140588854
SAT,Body,male,22,1.57,2.01630084639942,0.315458455471661
SAT,Body,male,22,1.58,2.02364740204327,0.311434032588322
SAT,Body,male,22,1.59,2.03099804260575,0.307661126606097
SAT,Body,male,22,1.6,2.03835244377491,0.304179847732008
SAT,Body,male,22,1.61,2.04571008361748,0.301025530157523
SAT,Body,male,22,1.62,2.05307025953155,0.298224132230239
SAT,Body,male,22,1.63,2.06043211317253,0.295788385415244
SAT,Body,male,22,1.64,2.06779465932347,0.293715342131359
SAT,Body,male,22,1.65,2.07515681494092,0.291985797465819
SAT,Body,male,22,1.66,2.08251742540563,0.29056580048808
SAT,Body,male,22,1.67,2.08987528619886,0.289410165492554
SAT,Body,male,22,1.68,2.09722915960845,0.288467588418611
SAT,Body,male,22,1.69,2.10457778741516,0.287686716411641
SAT,Body,male,22,1.7,2.11191990160061,0.287022350068619
SAT,Body,male,22,1.71,2.11925423577688,0.286440906434337
SAT,Body,male,22,1.72,2.12657954015584,0.285924346778536
SAT,Body,male,22,1.73,2.13389460243171,0.285471967603072
