Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,55,1.4,2.28785619730827,0.272504314977748
SAT,Body,male,55,1.41,2.29516219021552,0.266668400583225
SAT,Body,male,55,1.42,2.30246960006326,0.260903674593938
SAT,Body,male,55,1.43,2.30977848589068,0.255213103193438
SAT,Body,male,55,1.44,2.31708890673697,0.249599652565277
SAT,Body,male,55,1.45,2.3244009216413,0.244066288893006
SAT,Body,male,55,1.46,2.33171458964288,0.238615978360177
SAT,Body,male,55,1.47,2.33902996978087,0.233251687150342
SAT,Body,male,55,1.48,2.34634712109448,0.227976381447051
SAT,Body,male,55,1.49,2.35366610262289,0.222793027433856
SAT,Body,male,55,1.5,2.36098697340529,0.21770459129431
SAT,Body,male,55,1.51,2.36830982709767,0.212713764591161
SAT,Body,male,55,1.52,2.37563491844306,0.207822355917369
SAT,Body,male,55,1.53,2.38296263758705,0.203033462850964
SAT,Body,male,55,1.54,2.39029343683699,0.198354314228778
SAT,Body,male,55,1.55,2.39762775946039,0.193798638107327
SAT,Body,male,55,1.56,2.40496597484743,0.189388096424466
SAT,Body,male,55,1.57,2.41230832417462,0.185152411307273
SAT,Body,male,55,1.58,2.41965487981847,0.181127988423934
SAT,Body,male,55,1.59,2.42700552038095,0.177355082441709
SAT,Body,male,55,1.6,2.43435992155011,0.17387380356762
SAT,Body,male,55,1.61,2.44171756139268,0.170719485993135
SAT,Body,male,55,1.62,2.44907773730675,0.167918088065851
SAT,Body,male,55,1.63,2.45643959094773,0.165482341250856
SAT,Body,male,55,1.64,2.46380213709867,0.163409297966971
SAT,Body,male,55,1.65,2.47116429271613,0.161679753301431
SAT,Body,male,55,1.66,2.47852490318084,0.160259756323691
SAT,Body,male,55,1.67,2.48588276397406,0.159104121328166
SAT,Body,male,55,1.68,2.49323663738365,0.158161544254223
SAT,Body,male,55,1.69,2.50058526519036,0.157380672247253
SAT,Body,male,55,1.7,2.50792737937582,0.156716305904231
SAT,Body,male,55,1.71,2.51526171355208,0.156134862269949
SAT,Body,male,55,1.72,2.52258701793104,0.155618302614148
SAT,Body,male,55,1.73,2.52990208020691,0.155165923438684
SAT,Body,male,55,1.74,2.53720575378296,0.154793694671858
SAT,Body,male,55,1.75,2.54449699692534,0.154531276301215
SAT,Body,male,55,1.76,2.55177499046837,0.154419316577834
SAT,Body,male,55,1.77,2.55903918310033,0.154502842790608
SAT,Body,male,55,1.78,2.56628926006471,0.154821633359183
SAT,Body,male,55,1.79,2.5735251784193,0.155403411364683
SAT,Body,male,55,1.8,2.58074719483325,0.15625854719997
SAT,Body,male,55,1.81,2.58795587811207,0.157376889292297
SAT,Body,male,55,1.82,2.59515210339865,0.158727148403765
SAT,Body,male,55,1.83,2.6023370267484,0.160258900120146
SAT,Body,male,55,1.84,2.60951204075367,0.161906906856085
SAT,Body,male,55,1.85,2.61667871385455,0.163597147619897
SAT,Body,male,55,1.86,2.62383871767873,0.165253725461351
SAT,Body,male,55,1.87,2.63099374799889,0.166805728806246
SAT,Body,male,55,1.88,2.63814544553705,0.168193164493024
SAT,Body,male,55,1.89,2.64529532281957,0.169371247520611
SAT,Body,male,55,1.9,2.65244470261296,0.170312596865253
SAT,Body,male,55,1.91,2.65959467224983,0.171007205788459
SAT,Body,male,55,1.92,2.66674605654662,0.171460379154953
SAT,Body,male,55,1.93,2.67389941021858,0.17168911027791
SAT,Body,male,55,1.94,2.68105502892183,0.171717564706191
SAT,Body,male,55,1.95,2.68821297648699,0.171572421482127
SAT,Body,male,55,1.96,2.69537312470419,0.171278785200643
SAT,Body,male,55,1.97,2.70253520126856,0.170857235231522
SAT,Body,male,55,1.98,2.70969884122968,0.170322349218093
SAT,Body,male,55,1.99,2.71686363747755,0.169682766108948
SAT,Body,male,55,2,2.72402918636367,0.168942584735622
SAT,Body,male,55,2.01,2.73119512538572,0.168103670673964
SAT,Body,male,55,2.02,2.73836116083323,0.167168301302431
SAT,Body,male,55,2.03,2.74552708427594,0.166141536713819
SAT,Body,male,55,2.04,2.75269277767445,0.165032765073399
SAT,Body,male,55,2.05,2.7598582076278,0.163856019969395
SAT,Body,male,55,2.06,2.76702340979861,0.162628873767389
SAT,Body,male,55,2.07,2.77418846238321,0.161370351467105
SAT,Body,male,55,2.08,2.7813534475747,0.160098502934512
SAT,Body,female,55,1.4,2.77662199731364,0.152855456175012
SAT,Body,female,55,1.41,2.77917558662681,0.152723859786023
SAT,Body,female,55,1.42,2.78172917594049,0.152631860205936
SAT,Body,female,55,1.43,2.78428276525469,0.15259097704408
SAT,Body,female,55,1.44,2.78683635456939,0.152613845991007
SAT,Body,female,55,1.45,2.78938994388456,0.152713243604006
SAT,Body,female,55,1.46,2.79194353320015,0.152900958722353
SAT,Body,female,55,1.47,2.79449712251608,0.153186572727774
SAT,Body,female,55,1.48,2.79705071183222,0.153576235044245
SAT,Body,female,55,1.49,2.79960430114844,0.154071537769451
SAT,Body,female,55,1.5,2.80215789046456,0.154668601043546
SAT,Body,female,55,1.51,2.80471147978036,0.155357476614686
SAT,Body,female,55,1.52,2.80726506909563,0.156121960331439
SAT,Body,female,55,1.53,2.80981865841012,0.156939875768292
SAT,Body,female,55,1.54,2.81237224772358,0.157783853148852
SAT,Body,female,55,1.55,2.81492583703576,0.158622583723802
SAT,Body,female,55,1.56,2.81747942634645,0.159422484236738
SAT,Body,female,55,1.57,2.82003301565545,0.160149663918305
SAT,Body,female,55,1.58,2.82258660496263,0.160772052274366
SAT,Body,female,55,1.59,2.82514019426788,0.161261523751103
SAT,Body,female,55,1.6,2.82769378357119,0.16159584795443
SAT,Body,female,55,1.61,2.83024737287259,0.161760302727723
SAT,Body,female,55,1.62,2.83280096217217,0.161748811609933
SAT,Body,female,55,1.63,2.83535455147008,0.161564504898847
SAT,Body,female,55,1.64,2.83790814076653,0.161219651181819
SAT,Body,female,55,1.65,2.84046173006175,0.16073495916143
SAT,Body,female,55,1.66,2.84301531935599,0.160138302736233
SAT,Body,female,55,1.67,2.84556890864953,0.1594629704445
SAT,Body,female,55,1.68,2.84812249794262,0.158745578948982
SAT,Body,female,55,1.69,2.8506760872355,0.158023815679693
SAT,Body,female,55,1.7,2.85322967652837,0.157334185899742
SAT,Body,female,55,1.71,2.8557832658214,0.15670993374139
SAT,Body,female,55,1.72,2.85833685511471,0.156179286199383
SAT,Body,female,55,1.73,2.86089044440839,0.155764136126999
SAT,Body,female,55,1.74,2.86344403370248,0.155479238545579
SAT,Body,female,55,1.75,2.86599762299698,0.155331948349235
SAT,Body,female,55,1.76,2.86855121229186,0.155322481297879
SAT,Body,female,55,1.77,2.87110480158707,0.15544463834036
SAT,Body,female,55,1.78,2.87365839088256,0.155686899430102
SAT,Body,female,55,1.79,2.87621198017825,0.156033769732092
SAT,Body,female,55,1.8,2.87876556947406,0.156467249920705
SAT,Body,female,55,1.81,2.88131915876993,0.156968303317954
SAT,Body,female,55,1.82,2.88387274806578,0.157518204912215
SAT,Body,female,55,1.83,2.88642633736157,0.158099678809561
SAT,Body,female,55,1.84,2.88897992665725,0.158697758649708
SAT,Body,female,55,1.85,2.89153351595277,0.159300336802993
SAT,Body,female,55,1.86,2.89408710524811,0.159898399521464
SAT,Body,female,55,1.87,2.89664069454326,0.160485973662971
SAT,Body,female,55,1.88,2.8991942838382,0.161059833674412
SAT,Body,female,55,1.89,2.90174787313292,0.161619033451219
SAT,Body,female,55,1.9,2.90430146242744,0.162164335546841
SAT,Body,female,55,1.91,2.90685505172177,0.162697609897335
SAT,Body,female,55,1.92,2.90940864101593,0.163221266456998
SAT,Body,female,55,1.93,2.91196223030993,0.163737772299378
SAT,Body,female,55,1.94,2.91451581960381,0.164249285737332
SAT,Body,female,55,1.95,2.9170694088976,0.164757532645121
SAT,Body,female,55,1.96,2.91962299819133,0.165264031104612
SAT,Body,female,55,1.97,2.92217658748503,0.165769743879579
SAT,Body,female,55,1.98,2.9247301767787,0.166275114528988
SAT,Body,female,55,1.99,2.92728376607237,0.166780428157472
SAT,Body,female,55,2,2.92983735536605,0.167285741785955
SAT,Body,female,55,2.01,2.93239094465972,0.167791055414439
SAT,Body,female,55,2.02,2.93494453395339,0.168296369042922
