Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,75,1.4,2.28837891703958,0.245126375942005
SAT,Body,male,75,1.41,2.29568490994684,0.239290461547482
SAT,Body,male,75,1.42,2.30299231979458,0.233525735558195
SAT,Body,male,75,1.43,2.310301205622,0.227835164157695
SAT,Body,male,75,1.44,2.31761162646828,0.222221713529534
SAT,Body,male,75,1.45,2.32492364137262,0.216688349857263
SAT,Body,male,75,1.46,2.33223730937419,0.211238039324434
SAT,Body,male,75,1.47,2.33955268951219,0.205873748114599
SAT,Body,male,75,1.48,2.3468698408258,0.200598442411308
SAT,Body,male,75,1.49,2.35418882235421,0.195415088398113
SAT,Body,male,75,1.5,2.3615096931366,0.190326652258567
SAT,Body,male,75,1.51,2.36883254682898,0.185335825555418
SAT,Body,male,75,1.52,2.37615763817437,0.180444416881626
SAT,Body,male,75,1.53,2.38348535731836,0.175655523815221
SAT,Body,male,75,1.54,2.39081615656831,0.170976375193035
SAT,Body,male,75,1.55,2.39815047919171,0.166420699071584
SAT,Body,male,75,1.56,2.40548869457874,0.162010157388723
SAT,Body,male,75,1.57,2.41283104390594,0.15777447227153
SAT,Body,male,75,1.58,2.42017759954979,0.153750049388191
SAT,Body,male,75,1.59,2.42752824011227,0.149977143405966
SAT,Body,male,75,1.6,2.43488264128143,0.146495864531877
SAT,Body,male,75,1.61,2.442240281124,0.143341546957392
SAT,Body,male,75,1.62,2.44960045703807,0.140540149030108
SAT,Body,male,75,1.63,2.45696231067905,0.138104402215113
SAT,Body,male,75,1.64,2.46432485682999,0.136031358931228
SAT,Body,male,75,1.65,2.47168701244744,0.134301814265688
SAT,Body,male,75,1.66,2.47904762291215,0.132881817287948
SAT,Body,male,75,1.67,2.48640548370538,0.131726182292423
SAT,Body,male,75,1.68,2.49375935711497,0.13078360521848
SAT,Body,male,75,1.69,2.50110798492168,0.130002733211509
SAT,Body,male,75,1.7,2.50845009910713,0.129338366868488
SAT,Body,male,75,1.71,2.5157844332834,0.128756923234206
SAT,Body,male,75,1.72,2.52310973766236,0.128240363578405
SAT,Body,male,75,1.73,2.53042479993823,0.127787984402941
SAT,Body,male,75,1.74,2.53772847351428,0.127415755636115
SAT,Body,male,75,1.75,2.54501971665665,0.127153337265472
SAT,Body,male,75,1.76,2.55229771019969,0.127041377542091
SAT,Body,male,75,1.77,2.55956190283165,0.127124903754865
SAT,Body,male,75,1.78,2.56681197979603,0.12744369432344
SAT,Body,male,75,1.79,2.57404789815062,0.12802547232894
SAT,Body,male,75,1.8,2.58126991456457,0.128880608164227
SAT,Body,male,75,1.81,2.58847859784339,0.129998950256554
SAT,Body,male,75,1.82,2.59567482312997,0.131349209368022
SAT,Body,male,75,1.83,2.60285974647971,0.132880961084403
SAT,Body,male,75,1.84,2.61003476048499,0.134528967820342
SAT,Body,male,75,1.85,2.61720143358587,0.136219208584154
SAT,Body,male,75,1.86,2.62436143741005,0.137875786425608
