Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,58,1.4,2.29680153353066,0.267943481456242
SAT,Body,male,58,1.41,2.30410752643791,0.262107567061719
SAT,Body,male,58,1.42,2.31141493628566,0.256342841072431
SAT,Body,male,58,1.43,2.31872382211308,0.250652269671932
SAT,Body,male,58,1.44,2.32603424295936,0.24503881904377
SAT,Body,male,58,1.45,2.33334625786369,0.2395054553715
SAT,Body,male,58,1.46,2.34065992586527,0.234055144838671
SAT,Body,male,58,1.47,2.34797530600327,0.228690853628835
SAT,Body,male,58,1.48,2.35529245731687,0.223415547925544
SAT,Body,male,58,1.49,2.36261143884528,0.21823219391235
SAT,Body,male,58,1.5,2.36993230962768,0.213143757772803
SAT,Body,male,58,1.51,2.37725516332006,0.208152931069655
SAT,Body,male,58,1.52,2.38458025466545,0.203261522395863
SAT,Body,male,58,1.53,2.39190797380944,0.198472629329457
SAT,Body,male,58,1.54,2.39923877305939,0.193793480707272
SAT,Body,male,58,1.55,2.40657309568279,0.189237804585821
SAT,Body,male,58,1.56,2.41391131106982,0.184827262902959
SAT,Body,male,58,1.57,2.42125366039701,0.180591577785766
SAT,Body,male,58,1.58,2.42860021604087,0.176567154902427
SAT,Body,male,58,1.59,2.43595085660335,0.172794248920202
SAT,Body,male,58,1.6,2.44330525777251,0.169312970046113
SAT,Body,male,58,1.61,2.45066289761507,0.166158652471629
SAT,Body,male,58,1.62,2.45802307352914,0.163357254544345
SAT,Body,male,58,1.63,2.46538492717012,0.160921507729349
SAT,Body,male,58,1.64,2.47274747332106,0.158848464445465
SAT,Body,male,58,1.65,2.48010962893852,0.157118919779924
SAT,Body,male,58,1.66,2.48747023940323,0.155698922802185
SAT,Body,male,58,1.67,2.49482810019645,0.154543287806659
SAT,Body,male,58,1.68,2.50218197360604,0.153600710732716
SAT,Body,male,58,1.69,2.50953060141275,0.152819838725746
SAT,Body,male,58,1.7,2.51687271559821,0.152155472382725
SAT,Body,male,58,1.71,2.52420704977447,0.151574028748443
SAT,Body,male,58,1.72,2.53153235415343,0.151057469092642
SAT,Body,male,58,1.73,2.5388474164293,0.150605089917178
SAT,Body,male,58,1.74,2.54615109000535,0.150232861150352
SAT,Body,male,58,1.75,2.55344233314773,0.149970442779709
SAT,Body,male,58,1.76,2.56072032669076,0.149858483056327
SAT,Body,male,58,1.77,2.56798451932273,0.149942009269101
SAT,Body,male,58,1.78,2.5752345962871,0.150260799837676
SAT,Body,male,58,1.79,2.58247051464169,0.150842577843176
SAT,Body,male,58,1.8,2.58969253105564,0.151697713678464
SAT,Body,male,58,1.81,2.59690121433446,0.15281605577079
SAT,Body,male,58,1.82,2.60409743962104,0.154166314882258
SAT,Body,male,58,1.83,2.61128236297079,0.15569806659864
SAT,Body,male,58,1.84,2.61845737697607,0.157346073334578
SAT,Body,male,58,1.85,2.62562405007694,0.15903631409839
SAT,Body,male,58,1.86,2.63278405390112,0.160692891939844
SAT,Body,male,58,1.87,2.63993908422128,0.16224489528474
SAT,Body,male,58,1.88,2.64709078175944,0.163632330971517
SAT,Body,male,58,1.89,2.65424065904196,0.164810413999105
SAT,Body,male,58,1.9,2.66139003883535,0.165751763343746
SAT,Body,male,58,1.91,2.66854000847222,0.166446372266952
SAT,Body,male,58,1.92,2.67569139276901,0.166899545633446
SAT,Body,male,58,1.93,2.68284474644097,0.167128276756404
SAT,Body,male,58,1.94,2.69000036514422,0.167156731184685
SAT,Body,male,58,1.95,2.69715831270938,0.16701158796062
SAT,Body,male,58,1.96,2.70431846092658,0.166717951679137
SAT,Body,male,58,1.97,2.71148053749095,0.166296401710016
SAT,Body,male,58,1.98,2.71864417745207,0.165761515696587
SAT,Body,male,58,1.99,2.72580897369995,0.165121932587442
SAT,Body,male,58,2,2.73297452258606,0.164381751214115
SAT,Body,male,58,2.01,2.74014046160811,0.163542837152457
SAT,Body,male,58,2.02,2.74730649705563,0.162607467780924
SAT,Body,male,58,2.03,2.75447242049833,0.161580703192313
SAT,Body,male,58,2.04,2.76163811389684,0.160471931551892
SAT,Body,male,58,2.05,2.76880354385019,0.159295186447888
SAT,Body,male,58,2.06,2.775968746021,0.158068040245882
SAT,Body,male,58,2.07,2.7831337986056,0.156809517945599
SAT,Body,male,58,2.08,2.79029878379709,0.155537669413005
SAT,Body,female,58,1.4,2.79216996285162,0.148788871530543
SAT,Body,female,58,1.41,2.79472355216479,0.148657275141554
SAT,Body,female,58,1.42,2.79727714147847,0.148565275561467
SAT,Body,female,58,1.43,2.79983073079266,0.148524392399611
SAT,Body,female,58,1.44,2.80238432010736,0.148547261346539
SAT,Body,female,58,1.45,2.80493790942254,0.148646658959537
SAT,Body,female,58,1.46,2.80749149873813,0.148834374077884
SAT,Body,female,58,1.47,2.81004508805405,0.149119988083306
SAT,Body,female,58,1.48,2.8125986773702,0.149509650399777
SAT,Body,female,58,1.49,2.81515226668642,0.150004953124982
SAT,Body,female,58,1.5,2.81770585600253,0.150602016399077
