Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,71,1.4,2.29353233028627,0.251495507591304
SAT,Body,male,71,1.41,2.30083832319352,0.245659593196781
SAT,Body,male,71,1.42,2.30814573304127,0.239894867207494
SAT,Body,male,71,1.43,2.31545461886869,0.234204295806994
SAT,Body,male,71,1.44,2.32276503971497,0.228590845178833
SAT,Body,male,71,1.45,2.3300770546193,0.223057481506562
SAT,Body,male,71,1.46,2.33739072262088,0.217607170973733
SAT,Body,male,71,1.47,2.34470610275888,0.212242879763897
SAT,Body,male,71,1.48,2.35202325407248,0.206967574060607
SAT,Body,male,71,1.49,2.35934223560089,0.201784220047412
SAT,Body,male,71,1.5,2.36666310638329,0.196695783907866
SAT,Body,male,71,1.51,2.37398596007567,0.191704957204717
SAT,Body,male,71,1.52,2.38131105142106,0.186813548530925
SAT,Body,male,71,1.53,2.38863877056505,0.18202465546452
SAT,Body,male,71,1.54,2.395969569815,0.177345506842334
SAT,Body,male,71,1.55,2.4033038924384,0.172789830720883
SAT,Body,male,71,1.56,2.41064210782543,0.168379289038022
SAT,Body,male,71,1.57,2.41798445715262,0.164143603920829
SAT,Body,male,71,1.58,2.42533101279648,0.16011918103749
SAT,Body,male,71,1.59,2.43268165335896,0.156346275055265
SAT,Body,male,71,1.6,2.44003605452812,0.152864996181176
SAT,Body,male,71,1.61,2.44739369437068,0.149710678606691
SAT,Body,male,71,1.62,2.45475387028475,0.146909280679407
SAT,Body,male,71,1.63,2.46211572392573,0.144473533864411
SAT,Body,male,71,1.64,2.46947827007667,0.142400490580527
SAT,Body,male,71,1.65,2.47684042569413,0.140670945914987
SAT,Body,male,71,1.66,2.48420103615884,0.139250948937247
SAT,Body,male,71,1.67,2.49155889695206,0.138095313941722
SAT,Body,male,71,1.68,2.49891277036165,0.137152736867779
SAT,Body,male,71,1.69,2.50626139816836,0.136371864860808
SAT,Body,male,71,1.7,2.51360351235382,0.135707498517787
SAT,Body,male,71,1.71,2.52093784653008,0.135126054883505
SAT,Body,male,71,1.72,2.52826315090904,0.134609495227704
SAT,Body,male,71,1.73,2.53557821318491,0.13415711605224
SAT,Body,male,71,1.74,2.54288188676096,0.133784887285414
SAT,Body,male,71,1.75,2.55017312990334,0.133522468914771
