Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,29,1.4,2.03751178869923,0.367808482143592
SAT,Body,male,29,1.41,2.04481778160648,0.361972567749069
SAT,Body,male,29,1.42,2.05212519145422,0.356207841759781
SAT,Body,male,29,1.43,2.05943407728164,0.350517270359282
SAT,Body,male,29,1.44,2.06674449812793,0.34490381973112
SAT,Body,male,29,1.45,2.07405651303226,0.33937045605885
SAT,Body,male,29,1.46,2.08137018103383,0.333920145526021
SAT,Body,male,29,1.47,2.08868556117183,0.328555854316185
SAT,Body,male,29,1.48,2.09600271248544,0.323280548612894
SAT,Body,male,29,1.49,2.10332169401385,0.3180971945997
SAT,Body,male,29,1.5,2.11064256479625,0.313008758460153
SAT,Body,male,29,1.51,2.11796541848862,0.308017931757005
SAT,Body,male,29,1.52,2.12529050983402,0.303126523083213
SAT,Body,male,29,1.53,2.132618228978,0.298337630016808
SAT,Body,male,29,1.54,2.13994902822795,0.293658481394622
SAT,Body,male,29,1.55,2.14728335085135,0.289102805273171
SAT,Body,male,29,1.56,2.15462156623839,0.28469226359031
SAT,Body,male,29,1.57,2.16196391556558,0.280456578473116
SAT,Body,male,29,1.58,2.16931047120943,0.276432155589777
SAT,Body,male,29,1.59,2.17666111177191,0.272659249607552
SAT,Body,male,29,1.6,2.18401551294107,0.269177970733463
SAT,Body,male,29,1.61,2.19137315278364,0.266023653158979
SAT,Body,male,29,1.62,2.19873332869771,0.263222255231695
SAT,Body,male,29,1.63,2.20609518233869,0.260786508416699
SAT,Body,male,29,1.64,2.21345772848963,0.258713465132815
SAT,Body,male,29,1.65,2.22081988410709,0.256983920467275
SAT,Body,male,29,1.66,2.22818049457179,0.255563923489535
SAT,Body,male,29,1.67,2.23553835536502,0.25440828849401
SAT,Body,male,29,1.68,2.24289222877461,0.253465711420067
SAT,Body,male,29,1.69,2.25024085658132,0.252684839413096
SAT,Body,male,29,1.7,2.25758297076678,0.252020473070075
SAT,Body,male,29,1.71,2.26491730494304,0.251439029435793
SAT,Body,male,29,1.72,2.272242609322,0.250922469779992
SAT,Body,male,29,1.73,2.27955767159787,0.250470090604528
SAT,Body,male,29,1.74,2.28686134517392,0.250097861837702
SAT,Body,male,29,1.75,2.29415258831629,0.249835443467059
SAT,Body,male,29,1.76,2.30143058185933,0.249723483743678
SAT,Body,male,29,1.77,2.30869477449129,0.249807009956451
SAT,Body,male,29,1.78,2.31594485145567,0.250125800525026
SAT,Body,male,29,1.79,2.32318076981026,0.250707578530526
SAT,Body,male,29,1.8,2.33040278622421,0.251562714365814
SAT,Body,male,29,1.81,2.33761146950303,0.25268105645814
SAT,Body,male,29,1.82,2.34480769478961,0.254031315569609
SAT,Body,male,29,1.83,2.35199261813935,0.25556306728599
SAT,Body,male,29,1.84,2.35916763214463,0.257211074021928
SAT,Body,male,29,1.85,2.36633430524551,0.258901314785741
SAT,Body,male,29,1.86,2.37349430906969,0.260557892627194
SAT,Body,male,29,1.87,2.38064933938985,0.26210989597209
SAT,Body,male,29,1.88,2.38780103692801,0.263497331658867
SAT,Body,male,29,1.89,2.39495091421053,0.264675414686455
SAT,Body,male,29,1.9,2.40210029400391,0.265616764031096
SAT,Body,male,29,1.91,2.40925026364078,0.266311372954302
SAT,Body,male,29,1.92,2.41640164793758,0.266764546320796
SAT,Body,male,29,1.93,2.42355500160953,0.266993277443754
SAT,Body,male,29,1.94,2.43071062031278,0.267021731872035
SAT,Body,male,29,1.95,2.43786856787795,0.26687658864797
SAT,Body,male,29,1.96,2.44502871609515,0.266582952366487
SAT,Body,male,29,1.97,2.45219079265952,0.266161402397366
SAT,Body,male,29,1.98,2.45935443262064,0.265626516383937
SAT,Body,male,29,1.99,2.46651922886851,0.264986933274792
SAT,Body,male,29,2,2.47368477775462,0.264246751901465
SAT,Body,male,29,2.01,2.48085071677667,0.263407837839807
SAT,Body,male,29,2.02,2.48801675222419,0.262472468468274
SAT,Body,male,29,2.03,2.4951826756669,0.261445703879663
SAT,Body,male,29,2.04,2.50234836906541,0.260336932239243
SAT,Body,male,29,2.05,2.50951379901876,0.259160187135239
SAT,Body,male,29,2.06,2.51667900118957,0.257933040933232
SAT,Body,male,29,2.07,2.52384405377416,0.256674518632949
SAT,Body,male,29,2.08,2.53100903896566,0.255402670100356
SAT,Body,female,29,1.4,2.5677716616112,0.183626441693809
SAT,Body,female,29,1.41,2.57032525092437,0.18349484530482
SAT,Body,female,29,1.42,2.57287884023805,0.183402845724733
SAT,Body,female,29,1.43,2.57543242955224,0.183361962562877
SAT,Body,female,29,1.44,2.57798601886695,0.183384831509804
SAT,Body,female,29,1.45,2.58053960818212,0.183484229122803
SAT,Body,female,29,1.46,2.58309319749771,0.18367194424115
SAT,Body,female,29,1.47,2.58564678681363,0.183957558246571
