Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,83,1.4,2.26968813847174,0.231817092561336
SAT,Body,male,83,1.41,2.27699413137899,0.225981178166813
SAT,Body,male,83,1.42,2.28430154122673,0.220216452177526
SAT,Body,male,83,1.43,2.29161042705415,0.214525880777026
SAT,Body,male,83,1.44,2.29892084790044,0.208912430148864
SAT,Body,male,83,1.45,2.30623286280477,0.203379066476594
SAT,Body,male,83,1.46,2.31354653080634,0.197928755943765
SAT,Body,male,83,1.47,2.32086191094434,0.192564464733929
SAT,Body,male,83,1.48,2.32817906225795,0.187289159030639
SAT,Body,male,83,1.49,2.33549804378636,0.182105805017444
SAT,Body,male,83,1.5,2.34281891456876,0.177017368877897
SAT,Body,male,83,1.51,2.35014176826113,0.172026542174749
SAT,Body,male,83,1.52,2.35746685960653,0.167135133500957
SAT,Body,male,83,1.53,2.36479457875051,0.162346240434552
SAT,Body,male,83,1.54,2.37212537800046,0.157667091812366
SAT,Body,male,83,1.55,2.37945970062386,0.153111415690915
SAT,Body,male,83,1.56,2.3867979160109,0.148700874008054
SAT,Body,male,83,1.57,2.39414026533809,0.144465188890861
SAT,Body,male,83,1.58,2.40148682098194,0.140440766007521
SAT,Body,male,83,1.59,2.40883746154442,0.136667860025296
SAT,Body,male,83,1.6,2.41619186271358,0.133186581151208
SAT,Body,male,83,1.61,2.42354950255615,0.130032263576723
SAT,Body,male,83,1.62,2.43090967847022,0.127230865649439
SAT,Body,male,83,1.63,2.4382715321112,0.124795118834443
SAT,Body,male,83,1.64,2.44563407826214,0.122722075550559
SAT,Body,male,83,1.65,2.4529962338796,0.120992530885019
SAT,Body,male,83,1.66,2.46035684434431,0.119572533907279
SAT,Body,male,83,1.67,2.46771470513753,0.118416898911754
SAT,Body,male,83,1.68,2.47506857854712,0.117474321837811
SAT,Body,male,83,1.69,2.48241720635383,0.11669344983084
SAT,Body,male,83,1.7,2.48975932053929,0.116029083487819
SAT,Body,male,83,1.71,2.49709365471555,0.115447639853537
SAT,Body,male,83,1.72,2.50441895909451,0.114931080197736
SAT,Body,male,83,1.73,2.51173402137038,0.114478701022272
SAT,Body,male,83,1.74,2.51903769494643,0.114106472255446
SAT,Body,male,83,1.75,2.5263289380888,0.113844053884803
